256 2.87
256 3.10
256 3.11
256 3.61
512 3.15
512 3.17
512 3.54
512 3.89
1024 3.29
1024 3.51
1024 3.62
1024 3.98
2048 3.32
2048 3.37
2048 3.38
2048 3.40
4096 4.27
4096 4.28
4096 4.31
4096 4.43
8192 6.43
8192 6.49
8192 6.72
8192 6.73
16384 11.74
16384 11.79
16384 11.93
16384 11.94
32768 23.37
32768 23.46
32768 23.53
32768 24.06
65536 45.93
65536 46.68
65536 46.77
65536 46.92
131072 71.46
131072 73.13
131072 74.35
131072 74.69
262144 183.33
262144 187.23
262144 193.43
262144 196.80
524288 363.99
524288 364.90
524288 366.79
524288 367.13
1048576 681.72
1048576 684.88
1048576 685.63
1048576 686.93
2097152 1323.51
2097152 1324.80
2097152 1327.82
2097152 1332.20
4194304 2588.35
4194304 2589.82
4194304 2597.38
4194304 2598.99
