256 3.14
256 3.17
256 3.19
256 3.19
512 3.30
512 3.31
512 3.32
512 3.34
1024 3.44
1024 3.45
1024 3.46
1024 3.49
2048 3.82
2048 3.83
2048 3.89
2048 3.89
4096 4.67
4096 4.72
4096 4.74
4096 4.82
8192 6.57
8192 6.60
8192 6.64
8192 6.64
16384 10.10
16384 10.11
16384 10.14
16384 10.15
32768 16.82
32768 16.85
32768 16.86
32768 16.86
65536 30.01
65536 30.03
65536 30.09
65536 33.58
131072 70.48
131072 70.66
131072 70.78
131072 72.17
262144 163.55
262144 164.07
262144 164.79
262144 165.85
524288 346.36
524288 350.02
524288 352.65
524288 354.62
1048576 687.23
1048576 700.97
1048576 712.17
1048576 726.07
2097152 1352.89
2097152 1359.50
2097152 1369.39
2097152 1373.00
4194304 2522.59
4194304 2524.23
4194304 2527.80
4194304 2535.23
