256 5.13
256 5.14
256 5.52
256 5.54
256 5.58
512 4.84
512 4.96
512 5.81
512 5.95
512 6.03
1024 4.82
1024 4.89
1024 5.04
1024 5.04
1024 5.05
2048 5.28
2048 5.31
2048 5.39
2048 5.51
2048 5.66
4096 6.22
4096 6.25
4096 6.57
4096 6.63
4096 6.78
8192 8.38
8192 9.14
8192 9.47
8192 9.55
8192 9.63
16384 13.69
16384 14.60
16384 14.67
16384 14.89
16384 15.07
32768 25.55
32768 25.71
32768 25.72
32768 26.77
32768 26.89
65536 48.43
65536 49.00
65536 49.46
65536 49.81
65536 50.52
131072 71.20
131072 73.41
131072 74.06
131072 75.50
131072 75.56
262144 183.53
262144 185.84
262144 191.74
262144 192.86
262144 196.70
524288 356.15
524288 356.42
524288 363.82
524288 364.43
524288 366.35
1048576 678.29
1048576 679.42
1048576 679.68
1048576 683.07
1048576 685.96
2097152 1315.15
2097152 1318.48
2097152 1320.55
