256 1.63
256 1.65
256 1.72
256 1.81
512 1.83
512 1.87
512 1.87
512 1.91
1024 2.02
1024 2.07
1024 2.09
1024 2.10
2048 2.26
2048 2.45
2048 2.77
2048 3.08
4096 2.03
4096 2.16
4096 2.17
4096 2.20
8192 2.90
8192 3.01
8192 3.02
8192 3.06
16384 4.65
16384 4.70
16384 4.70
16384 4.70
32768 8.21
32768 8.22
32768 8.28
32768 8.42
65536 15.21
65536 15.23
65536 15.39
65536 15.54
131072 35.20
131072 35.37
131072 37.91
131072 40.62
262144 102.24
262144 104.25
262144 106.41
262144 108.93
524288 198.61
524288 198.73
524288 200.78
524288 202.97
1048576 385.65
1048576 386.46
1048576 388.88
1048576 389.94
2097152 760.74
2097152 761.65
2097152 762.09
2097152 765.91
4194304 1651.13
4194304 1658.58
4194304 1659.67
4194304 1661.16
