256 0.24
256 0.26
256 0.26
512 0.26
512 0.26
512 0.27
1024 0.26
1024 0.27
1024 0.28
2048 0.26
2048 0.27
2048 0.29
4096 0.27
4096 0.28
4096 0.29
8192 0.33
8192 0.33
8192 0.33
16384 0.38
16384 0.38
16384 0.43
32768 0.51
32768 0.52
32768 0.52
65536 0.81
65536 0.82
65536 0.83
131072 1.34
131072 1.34
131072 1.35
262144 2.42
262144 2.43
262144 2.44
524288 4.59
524288 4.59
524288 4.60
1048576 8.89
1048576 8.90
1048576 8.90
2097152 17.50
2097152 17.50
2097152 17.50
4194304 34.76
4194304 34.76
4194304 34.77
