256 4.41
256 4.43
256 4.55
256 4.59
256 4.64
512 4.52
512 4.55
512 4.73
512 4.81
512 4.83
1024 4.97
1024 5.08
1024 5.09
1024 5.16
1024 5.19
2048 5.16
2048 5.18
2048 5.38
2048 5.47
2048 5.51
4096 4.72
4096 4.74
4096 4.79
4096 4.89
4096 5.09
8192 4.97
8192 5.11
8192 5.20
8192 5.21
8192 5.33
16384 6.50
16384 6.59
16384 6.61
16384 6.62
16384 6.85
32768 10.14
32768 10.19
32768 10.77
32768 9.74
32768 9.85
65536 16.66
65536 18.03
65536 18.27
65536 20.47
65536 20.75
131072 39.88
131072 40.65
131072 41.08
131072 43.48
131072 43.53
262144 107.03
262144 109.26
262144 110.52
262144 111.62
262144 112.14
524288 200.36
524288 202.04
524288 203.20
524288 204.20
524288 205.26
1048576 388.30
1048576 388.99
1048576 389.08
1048576 390.74
1048576 392.04
2097152 763.89
2097152 764.05
2097152 767.37
2097152 769.02
2097152 770.04
