256 2.07
256 2.09
256 2.10
256 2.11
512 2.67
512 2.68
512 2.69
512 2.71
1024 3.93
1024 3.96
1024 3.98
1024 3.99
2048 4.34
2048 4.42
2048 4.43
2048 4.43
4096 4.70
4096 4.72
4096 4.72
4096 4.75
8192 7.61
8192 7.62
8192 7.65
8192 7.69
16384 13.68
16384 13.68
16384 13.69
16384 13.70
32768 25.64
32768 25.67
32768 25.68
32768 25.70
65536 49.75
65536 49.76
65536 49.77
65536 49.81
131072 97.52
131072 97.58
131072 97.71
131072 97.79
262144 222.53
262144 222.64
262144 223.03
262144 223.07
524288 458.87
524288 459.70
524288 460.84
524288 460.85
1048576 912.72
1048576 913.77
1048576 914.47
1048576 915.48
2097152 1814.82
2097152 1817.64
2097152 1820.93
2097152 1822.23
4194304 3618.83
4194304 3619.51
4194304 3627.54
4194304 3653.16
