16 1.19
16 1.21
16 1.22
16 1.25
16 1.25
16 1.28
16 1.29
16 1.29
16 1.30
16 1.31
32 1.32
32 1.37
32 1.41
32 1.43
32 1.43
32 1.45
32 1.49
32 1.50
32 1.51
32 1.52
64 1.66
64 1.69
64 1.70
64 1.77
64 1.80
64 1.81
64 1.81
64 1.82
64 1.82
64 1.90
128 2.44
128 2.45
128 2.53
128 2.55
128 2.56
128 2.63
128 2.64
128 3.57
128 3.60
128 3.60
256 12.50
256 12.57
256 12.58
256 7.72
256 7.79
256 7.82
256 7.84
256 7.90
256 7.91
256 7.91
512 24.09
512 24.09
512 24.09
512 24.20
512 24.20
512 24.20
512 24.27
512 43.02
512 43.14
512 43.15
1024 163.66
1024 163.66
1024 163.87
1024 91.52
1024 91.60
1024 91.61
1024 91.67
1024 91.76
1024 91.85
1024 91.90
2048 370.18
2048 370.18
2048 370.19
2048 370.26
2048 370.26
2048 370.34
2048 370.34
2048 370.40
2048 370.40
2048 370.56
