16 24.94
16 25.25
16 25.46
16 25.64
16 25.81
16 25.89
16 25.90
16 26.18
16 26.47
16 27.48
32 14.25
32 14.43
32 14.98
32 15.18
32 15.53
32 15.82
32 15.84
32 15.89
32 16.05
32 16.53
64 13.97
64 14.01
64 14.06
64 14.13
64 14.13
64 14.24
64 14.26
64 14.27
64 14.32
64 14.32
128 30.81
128 30.84
128 30.86
128 30.92
128 30.99
128 31.00
128 31.31
128 31.44
128 31.50
128 31.83
256 108.99
256 109.31
256 109.48
256 109.86
256 110.07
256 110.10
256 110.19
256 110.19
256 110.61
256 111.16
512 286.76
512 286.97
512 287.46
512 287.77
512 287.88
512 288.15
512 288.63
512 289.27
512 289.85
512 290.06
1024 813.41
1024 815.77
1024 818.11
1024 820.60
1024 820.79
1024 821.47
1024 823.24
1024 823.41
1024 823.61
1024 825.50
2048 2947.90
2048 2951.59
2048 2951.64
2048 2951.69
2048 2956.45
2048 2960.82
2048 2962.68
2048 2963.16
2048 2968.37
2048 2971.46
